iteration,timestamp,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_elbow_x,left_elbow_y,left_elbow_z,hip_x,hip_y,hip_z,right_wrist_x,right_wrist_y,right_wrist_z,left_wrist_x,left_wrist_y,left_wrist_z,neck_x,neck_y,neck_z
4,1749062777.3333333,-0.3319866,0.4260561,1.979979,-0.01541933,0.4138777,2.020889,-0.3837733,0.5085788,1.772052,0.0373967,0.1901231,2.025184,-0.1891603,0.242428,2.063971,-0.3443232,0.5693339,1.598095,0.01010711,0.00593817,1.986513,-0.1817431,0.4664608,2.049378
4,1749062777.3666666,-0.3318509,0.427945,1.980471,-0.01523362,0.4154068,2.021756,-0.3771792,0.5404691,1.770506,0.03672839,0.1926752,2.026539,-0.189322,0.2462592,2.06215,-0.3265193,0.6334142,1.587937,0.01149189,0.008420828,1.988024,-0.1821451,0.4676836,2.048629
4,1749062777.4,-0.3319035,0.4319858,1.981171,-0.0152527,0.4170499,2.022671,-0.3641857,0.5771079,1.780069,0.03674327,0.1933539,2.027101,-0.1918769,0.2502408,2.060521,-0.3161266,0.6919886,1.601389,0.01248963,0.0101222,1.989703,-0.1844873,0.4683589,2.047664
4,1749062777.4333334,-0.3327444,0.4370939,1.981881,-0.01500629,0.4190131,2.024036,-0.360087,0.5926626,1.78863,0.03622301,0.1945733,2.028129,-0.194814,0.2546419,2.058504,-0.3056545,0.7358258,1.625702,0.01281945,0.01074596,1.991034,-0.1876672,0.469683,2.046309
4,1749062777.4666667,-0.3325979,0.4464492,1.981878,-0.01505291,0.4206589,2.024059,-0.3533975,0.6165511,1.801594,0.03597983,0.1957157,2.029097,-0.196483,0.2594925,2.056687,-0.2947733,0.7757825,1.650601,0.01755004,0.02071854,1.992381,-0.1890541,0.470624,2.045459
4,1749062777.5,-0.3338271,0.4596331,1.982205,-0.01550634,0.422379,2.024328,-0.3491224,0.6367795,1.808997,0.03647651,0.1972961,2.030449,-0.1982063,0.2647038,2.054173,-0.287387,0.7952921,1.682592,0.0179391,0.02241325,1.992995,-0.1918879,0.472389,2.043854
4,1749062777.5333333,-0.3364063,0.4719957,1.986721,-0.01497892,0.4268973,2.028828,-0.3503504,0.6471872,1.823914,0.03739582,0.2009869,2.031349,-0.1999995,0.2722332,2.049726,-0.2762388,0.8218278,1.707954,0.02003581,0.02593352,1.994106,-0.1934844,0.4749101,2.040816
4,1749062777.5666666,-0.3362222,0.4758288,1.989916,-0.02343811,0.480223,2.060174,-0.3507386,0.6526604,1.839094,0.02843559,0.2418884,2.033381,-0.1989428,0.2778302,2.048337,-0.2688637,0.8409373,1.727559,0.02135339,0.03679309,1.996032,-0.1939545,0.4770077,2.039611
4,1749062777.6,-0.3273625,0.5187724,1.99901,-0.06619485,0.5362552,2.019226,-0.3492102,0.6590992,1.848281,0.005762332,0.3032389,2.022775,-0.1990406,0.2868443,2.04645,-0.261934,0.8564245,1.748896,0.01998765,0.06336281,1.998087,-0.1945366,0.479223,2.038191
4,1749062777.6333334,-0.3284199,0.5158828,1.999542,-0.06661344,0.5373271,2.019479,-0.3450729,0.6731887,1.856335,0.005342203,0.3042781,2.022547,-0.1989423,0.2881383,2.046288,-0.2541341,0.8710059,1.762831,0.02007078,0.06443068,1.99808,-0.1947335,0.4792691,2.038117
4,1749062777.6666667,-0.3285951,0.513749,1.999579,-0.06672861,0.5380456,2.01959,-0.3134218,0.7207046,1.869143,0.005413189,0.3050497,2.022657,-0.1991069,0.2886945,2.046046,-0.2494547,0.878771,1.778322,0.0203407,0.06521198,1.998173,-0.1951597,0.4793097,2.037871
4,1749062777.7,-0.3282499,0.5133808,1.999794,-0.06681,0.5386644,2.019793,-0.3128135,0.7218465,1.872208,0.005397231,0.3057046,2.023085,-0.1992791,0.2892829,2.045783,-0.2442591,0.8881012,1.794505,0.02080221,0.06592092,1.998138,-0.1954203,0.4793222,2.037719
4,1749062777.7333333,-0.3276621,0.5125857,2.000134,-0.06658825,0.5386592,2.020104,-0.3295298,0.7221822,1.875785,0.005675884,0.3057657,2.023702,-0.1995249,0.2901002,2.045547,-0.2412155,0.8906367,1.806182,0.02086892,0.06601246,1.998337,-0.1959617,0.4796274,2.037428
4,1749062777.7666667,-0.3273355,0.5117666,2.000478,-0.06644862,0.5389597,2.020511,-0.3289761,0.7225232,1.876747,0.005815779,0.3060657,2.023874,-0.1995267,0.2904759,2.045344,-0.2237142,0.9183255,1.815845,0.02085803,0.06632886,1.998376,-0.1960225,0.4796244,2.037334
4,1749062777.8,-0.3266562,0.5110522,2.000718,-0.06577897,0.5383664,2.020838,-0.2970744,0.7284709,1.895388,0.006448915,0.3054493,2.023981,-0.1997302,0.291129,2.044741,-0.2262365,0.9059063,1.825282,0.02147514,0.06572407,1.998333,-0.1965654,0.4797197,2.036854
4,1749062777.8333333,-0.3261345,0.5102021,2.001225,-0.06574964,0.5388185,2.020599,-0.2969996,0.7277526,1.896071,0.006830999,0.306028,2.023971,-0.1996751,0.2916883,2.04447,-0.2104052,0.9208771,1.826879,0.02147045,0.06628338,1.998198,-0.1966527,0.4797359,2.036771
4,1749062777.8666666,-0.3245866,0.5103541,2.00122,-0.06567774,0.5388778,2.020689,-0.2965221,0.728278,1.896698,0.008029556,0.3064653,2.024283,-0.2003973,0.2940046,2.044053,-0.2048022,0.9260944,1.828747,0.02164262,0.06668053,1.998151,-0.1983794,0.4810577,2.036287
4,1749062777.9,-0.3232997,0.5099192,2.000979,-0.06526181,0.5394336,2.0208,-0.29588,0.7281551,1.897057,0.00821567,0.3069239,2.024154,-0.2001062,0.2953859,2.043778,-0.2015733,0.9278604,1.82926,0.021524,0.06711169,1.998144,-0.1985602,0.4814173,2.036116
4,1749062777.9333334,-0.3230732,0.5099292,2.001061,-0.06513857,0.5393392,2.021322,-0.2955182,0.728223,1.897326,0.008232214,0.3067606,2.024235,-0.200232,0.2960411,2.043516,-0.1991125,0.9359874,1.830618,0.02148305,0.06694979,1.998167,-0.1989289,0.4818739,2.035905
4,1749062777.9666667,-0.3217636,0.5094954,2.000679,-0.06506798,0.5392182,2.021466,-0.2942462,0.7280231,1.897525,0.008384918,0.306667,2.024375,-0.2003852,0.2962664,2.043436,-0.1917871,0.9286794,1.82772,0.02142615,0.06688859,1.997628,-0.1993153,0.4820911,2.035764
4,1749062778.0,-0.3217939,0.5092372,2.00093,-0.06514879,0.5392796,2.021653,-0.29405,0.7276629,1.897572,0.008600817,0.3068044,2.024336,-0.2006169,0.2969944,2.043334,-0.1920498,0.9290795,1.82752,0.02149374,0.06702971,1.997399,-0.1998148,0.4825229,2.035658
4,1749062778.0333333,-0.3215933,0.5089087,2.001138,-0.06511974,0.5392272,2.021763,-0.2936994,0.7271068,1.897233,0.008327041,0.3066512,2.024389,-0.2006007,0.2969943,2.043331,-0.1949318,0.9275144,1.82586,0.02133292,0.06688608,1.997411,-0.1997215,0.4824217,2.035701
4,1749062778.0666666,-0.321465,0.508235,2.001322,-0.06488685,0.5388783,2.022107,-0.2932337,0.7256071,1.895419,0.008355161,0.306217,2.024439,-0.200429,0.2969394,2.04338,-0.1959014,0.9245345,1.820761,0.02144366,0.06649415,1.996937,-0.1994882,0.4822661,2.035807
4,1749062778.1,-0.3216856,0.5076088,2.001733,-0.06498175,0.5388801,2.022253,-0.2981339,0.721958,1.88754,0.008238763,0.3062026,2.024467,-0.2003053,0.2965937,2.043629,-0.2198407,0.8850332,1.815397,0.02156146,0.06649131,1.996986,-0.1992243,0.4819675,2.036131
4,1749062778.1333334,-0.3215868,0.5059412,2.001469,-0.0650109,0.5389599,2.022429,-0.2984145,0.7187567,1.883812,0.008098678,0.3062218,2.024331,-0.200098,0.2962222,2.043663,-0.2228805,0.8812718,1.810157,0.02160213,0.06651667,1.996903,-0.1991115,0.4818304,2.036186
4,1749062778.1666667,-0.322011,0.5055608,2.001654,-0.0650236,0.5389422,2.022547,-0.2978325,0.7152721,1.877803,0.007938303,0.3061602,2.024479,-0.2001414,0.2958065,2.0439,-0.225645,0.875741,1.797971,0.02117443,0.0664644,1.996705,-0.1992279,0.4817469,2.036317
4,1749062778.2,-0.3221705,0.5054955,2.001657,-0.0566272,0.5284708,2.029434,-0.2991332,0.7098622,1.86766,0.01239546,0.2943107,2.027007,-0.1997281,0.2936203,2.044735,-0.2208833,0.8899288,1.754463,0.0001221576,0.05497386,1.995007,-0.1988477,0.4812232,2.036808
4,1749062778.2333333,-0.3226018,0.5053083,2.001911,-0.05732855,0.5303256,2.029615,-0.3022648,0.7026998,1.856075,0.01203967,0.2962671,2.02699,-0.1996467,0.2921681,2.045763,-0.2440477,0.8417484,1.751707,0.0001020466,0.05691639,1.995108,-0.1985417,0.4806679,2.037575
4,1749062778.2666667,-0.3231011,0.5044278,2.001817,-0.05708762,0.5301738,2.029993,-0.3631026,0.6184093,1.860214,0.01195093,0.2960038,2.027099,-0.1986327,0.2884807,2.047967,-0.2601468,0.8063291,1.748219,8.437214e-05,0.05665931,1.995123,-0.1980813,0.4798208,2.038698
4,1749062778.3,-0.3239426,0.5031884,2.001802,-0.0595458,0.5329976,2.029216,-0.3493577,0.6442871,1.817966,0.01041446,0.2991553,2.027524,-0.1978116,0.2861656,2.049928,-0.2599914,0.7975591,1.706143,0.008078458,0.05931915,1.99798,-0.1971743,0.4795587,2.040174
4,1749062778.3333333,-0.3255969,0.4994377,2.000662,-0.06837039,0.5388647,2.024329,-0.3548497,0.630169,1.808566,0.005992854,0.3065229,2.025531,-0.1946103,0.2832252,2.053843,-0.2752155,0.7666763,1.678477,0.008247288,0.06649736,1.998013,-0.1900539,0.4804008,2.045684
4,1749062778.3666666,-0.3284604,0.4836311,1.997185,-0.04068407,0.4871583,2.034519,-0.3658032,0.594294,1.796304,0.02499013,0.2524064,2.031991,-0.1955898,0.2760513,2.0571,-0.2906813,0.724678,1.649768,0.01042281,0.0139143,1.995238,-0.1907449,0.4790271,2.046725
4,1749062778.4,-0.328527,0.4780088,1.995464,-0.01796607,0.4269252,2.036509,-0.3796413,0.5596102,1.778765,0.03881663,0.2016594,2.035178,-0.1967381,0.2685811,2.058765,-0.3094229,0.6773716,1.625076,0.01025812,0.009429276,1.994705,-0.1915958,0.4774475,2.047557
4,1749062778.4333334,-0.3235547,0.4503348,1.990902,-0.01784119,0.426888,2.036624,-0.3911551,0.5242567,1.772253,0.03873875,0.2011584,2.035437,-0.1945549,0.2635741,2.062609,-0.3306228,0.6137309,1.620448,0.0103953,0.009550874,1.9949,-0.1892892,0.4771004,2.051372
4,1749062778.4666667,-0.3237135,0.4538409,1.990589,-0.01816452,0.4260314,2.036199,-0.4060396,0.4737361,1.778505,0.03823373,0.1984902,2.036428,-0.1955355,0.2587565,2.064048,-0.3450285,0.5581932,1.606152,0.01020904,0.009137236,1.995274,-0.1896896,0.475904,2.051776
4,1749062778.5,-0.3245286,0.4429899,1.986261,-0.01879008,0.4109985,2.028884,-0.4254429,0.3809083,1.828161,0.03897972,0.1969143,2.03703,-0.1931151,0.2531629,2.067671,-0.3879894,0.4190329,1.650106,0.01024537,0.009046426,1.995616,-0.1870632,0.4752487,2.054701
4,1749062778.5333333,-0.3265971,0.4406967,1.985815,-0.01849612,0.4089594,2.027455,-0.4322064,0.2989137,1.89196,0.03946903,0.1943547,2.036028,-0.1920946,0.2504073,2.069026,-0.3907068,0.340874,1.715605,0.01169427,0.009466617,1.996944,-0.1863002,0.4746099,2.05525
4,1749062778.5666666,-0.3308221,0.4368333,1.98503,-0.01830024,0.4075018,2.026532,-0.4534279,0.3492264,1.875381,0.04011709,0.1876563,2.035911,-0.1921358,0.2489378,2.070136,-0.3803322,0.2594559,1.656101,0.01323411,0.00932741,1.998733,-0.1861952,0.4743989,2.055565
4,1749062778.6,-0.3354538,0.4307148,1.982478,-0.01790997,0.4062232,2.025833,-0.4605043,0.3182518,1.857842,0.04036618,0.1818003,2.035179,-0.1923293,0.2473448,2.070534,-0.404017,0.2155678,1.683488,0.01311628,0.007174507,2.000203,-0.1863298,0.4740127,2.05554
4,1749062778.6333334,-0.3428793,0.428257,1.98247,-0.01754447,0.4053681,2.025501,-0.4542629,0.294154,1.881993,0.03982708,0.1782724,2.035322,-0.192514,0.2463586,2.070858,-0.3942707,0.1613713,1.695884,0.01351622,0.00419283,2.000555,-0.1863635,0.4737169,2.055472
4,1749062778.6666667,-0.344992,0.4272202,1.98226,-0.01742412,0.4050574,2.025089,-0.4541593,0.2732252,1.886393,0.03992106,0.1780423,2.035007,-0.1927373,0.2456813,2.070832,-0.4026043,0.1201379,1.724245,0.01438012,0.003692061,2.001328,-0.1865932,0.4732565,2.055165
4,1749062778.7,-0.3438667,0.4308646,1.983329,-0.01744448,0.4050784,2.024826,-0.4415631,0.2330886,1.922391,0.03998192,0.1766665,2.034801,-0.1930367,0.2452075,2.070741,-0.4032813,0.07471838,1.748707,0.01446221,0.00225889,2.001606,-0.1870168,0.4726296,2.054716
4,1749062778.7333333,-0.3498406,0.4240154,1.982149,-0.01760399,0.4048857,2.024003,-0.4386488,0.2236091,1.929062,0.03968724,0.1777055,2.033991,-0.1932477,0.2444084,2.070497,-0.3997163,0.05641173,1.766101,0.01495628,0.003097753,2.001445,-0.1873551,0.4721166,2.054096
4,1749062778.7666667,-0.353767,0.4204301,1.981627,-0.01788651,0.4047113,2.02312,-0.4334322,0.2032826,1.940678,0.03942833,0.17921,2.032795,-0.193647,0.2436338,2.070117,-0.3964454,0.02078989,1.807375,0.015222,0.004418793,2.001093,-0.1883367,0.4715152,2.053077
4,1749062778.8,-0.3560157,0.416795,1.981032,-0.01818977,0.4045764,2.022438,-0.431073,0.1963312,1.951262,0.0381954,0.1769885,2.031648,-0.1939767,0.2424739,2.069548,-0.3934475,0.005937411,1.823609,0.01485898,0.002044151,2.00035,-0.189052,0.4706698,2.052073
4,1749062778.8333333,-0.3578199,0.4130073,1.980337,-0.01850365,0.4046654,2.02189,-0.4283964,0.1910106,1.958163,0.0367476,0.174476,2.029927,-0.1943558,0.2412668,2.068864,-0.3915229,-0.009257414,1.84736,0.01427352,-0.0006352877,1.999223,-0.1899222,0.4698304,2.051036
4,1749062778.8666666,-0.3586001,0.4124442,1.980366,-0.01910502,0.4047714,2.020955,-0.4254638,0.1829229,1.965919,0.03563382,0.1731591,2.028466,-0.194611,0.2403409,2.068154,-0.3863284,-0.02182641,1.872515,0.01354281,-0.001970126,1.997537,-0.1910454,0.4688686,2.049918
4,1749062778.9,-0.3596269,0.4111235,1.980224,-0.02023779,0.404793,2.019587,-0.4241616,0.1798273,1.968687,0.03449871,0.1716692,2.025856,-0.1946693,0.2395349,2.067309,-0.3842132,-0.02717448,1.887762,0.0125368,-0.003591262,1.996035,-0.1916282,0.4682133,2.048982
4,1749062778.9333334,-0.3624509,0.408615,1.980313,-0.02149063,0.4042204,2.017671,-0.4207599,0.1731667,1.97607,0.03395123,0.1706116,2.02505,-0.1952664,0.2383961,2.066291,-0.3830037,-0.0359711,1.906437,0.01186527,-0.004624729,1.995193,-0.1936727,0.4671227,2.047425
4,1749062778.9666667,-0.3655101,0.4069622,1.981146,-0.02236421,0.4043983,2.016913,-0.4200786,0.1707943,1.980305,0.03402373,0.1747161,2.024181,-0.1955293,0.2379352,2.065924,-0.3837851,-0.04429013,1.923782,0.01110112,-0.0004470084,1.994419,-0.1941145,0.466734,2.047041
4,1749062779.0,-0.3681438,0.4067494,1.982666,-0.02218319,0.41014,2.02052,-0.4200411,0.1700882,1.983699,0.0332282,0.1741319,2.023561,-0.1956767,0.2377366,2.065507,-0.3846234,-0.04729635,1.932605,0.01081351,-0.001066682,1.99354,-0.1947462,0.4663291,2.046382
4,1749062779.0333333,-0.3647394,0.4121795,1.983946,-0.02208589,0.4124996,2.021985,-0.418342,0.176001,1.98646,0.03251063,0.1756576,2.022775,-0.1961688,0.2375529,2.065212,-0.3869794,-0.04490323,1.943065,0.01073941,0.0003222931,1.993198,-0.1957766,0.4657643,2.045907
4,1749062779.0666666,-0.3688418,0.4101056,1.984977,-0.02411788,0.4108839,2.019141,-0.4192822,0.1733202,1.98876,0.03202325,0.1745808,2.022065,-0.1970777,0.2370817,2.064938,-0.3900256,-0.03855982,1.953361,0.009819663,-0.0006778733,1.992321,-0.1970431,0.4652548,2.045628
